"order_id","item_id","product_id","quantity","list_price","discount"
1001,1,72,1,619.99,0.05
1001,2,45,2,869.99,0.05
1001,3,58,1,4999.99,0.1
1001,4,111,1,470.99,0.07
1002,1,100,1,489.99,0.05
1002,2,83,1,149.99,0.1
1002,3,8,2,1799.99,0.1
1002,4,79,1,402.99,0.2
1003,1,34,2,469.99,0.05
1003,2,51,2,6499.99,0.05
1004,1,36,2,832.99,0.1
1005,1,14,2,269.99,0.2
1005,2,81,2,1099.99,0.1
1005,3,99,1,299.99,0.1
1006,1,20,1,599.99,0.07
1006,2,68,1,449.99,0.1
1006,3,56,2,5499.99,0.07
1006,4,65,1,346.99,0.1
1006,5,46,1,1409.99,0.1
1007,1,26,1,599.99,0.2
1007,2,11,1,1680.99,0.05
1007,3,85,2,329.99,0.1
1007,4,76,1,299.99,0.2
1007,5,106,2,449.99,0.1
1008,1,71,1,416.99,0.2
1008,2,2,1,749.99,0.1
1008,3,95,1,299.99,0.07
1009,1,95,2,299.99,0.07
1009,2,44,1,539.99,0.07
1010,1,109,2,416.99,0.1
1011,1,88,1,189.99,0.2
1011,2,99,2,299.99,0.2
1011,3,16,2,599.99,0.2
1011,4,68,2,449.99,0.05
1012,1,8,1,1799.99,0.07
1012,2,64,1,489.99,0.2
1013,1,60,2,1559.99,0.05
1014,1,97,1,349.99,0.2
1014,2,45,2,869.99,0.05
1014,3,81,2,1099.99,0.1
1014,4,59,1,2599.99,0.05
1015,1,6,2,469.99,0.1
1015,2,73,2,749.99,0.2
1015,3,101,2,339.99,0.1
1015,4,13,1,269.99,0.2
1016,1,76,2,299.99,0.07
1017,1,89,1,209.99,0.07
1017,2,82,2,659.99,0.2
1017,3,100,1,489.99,0.2
1017,4,18,2,449,0.2
1017,5,77,2,799.99,0.1
1018,1,76,2,299.99,0.07
1018,2,97,2,349.99,0.1
1018,3,91,1,349.99,0.2
1019,1,30,1,999.99,0.1
1019,2,52,1,875.99,0.2
1019,3,37,1,379.99,0.05
1019,4,93,2,209.99,0.2
1020,1,20,2,599.99,0.05
1020,2,69,2,416.99,0.05
1020,3,15,1,529.99,0.07
1020,4,57,2,1999.99,0.1
1020,5,40,2,4999.99,0.05
1021,1,49,2,3499.99,0.07
1021,2,23,2,299.99,0.07
1022,1,33,1,469.99,0.2
1022,2,46,1,1409.99,0.1
1022,3,65,1,346.99,0.07
1022,4,5,1,1320.99,0.07
1023,1,91,1,349.99,0.07
1023,2,43,2,5299.99,0.1
1024,1,104,1,481.99,0.2
1024,2,28,2,2499.99,0.05
1024,3,98,2,489.99,0.2
1024,4,96,2,349.99,0.1
1024,5,91,1,349.99,0.2
1025,1,89,1,209.99,0.07
1025,2,102,1,489.99,0.1
1025,3,39,1,1499.99,0.1
1025,4,15,1,529.99,0.05
1025,5,66,2,250.99,0.05
1026,1,7,2,3999.99,0.07
1027,1,95,2,299.99,0.1
1027,2,14,2,269.99,0.05
1028,1,111,2,470.99,0.1
1028,2,10,1,1549,0.2
1028,3,41,1,1469.99,0.2
1028,4,35,2,832.99,0.1
1028,5,108,1,449.99,0.2
1029,1,20,1,599.99,0.2
1029,2,55,1,2699.99,0.1
1029,3,40,1,4999.99,0.2
1029,4,68,2,449.99,0.1
1030,1,27,1,999.99,0.05
1030,2,10,2,1549,0.1
1030,3,72,1,619.99,0.1
1031,1,27,2,999.99,0.2
1031,2,108,2,449.99,0.2
1032,1,60,2,1559.99,0.1
1032,2,17,1,429,0.1
1033,1,26,1,599.99,0.07
1033,2,109,2,416.99,0.1
1033,3,27,2,999.99,0.07
1034,1,101,1,339.99,0.1
1034,2,8,2,1799.99,0.1
1034,3,11,2,1680.99,0.07
1034,4,21,1,269.99,0.05
1035,1,96,1,349.99,0.2
1036,1,55,2,2699.99,0.1
1036,2,76,1,299.99,0.07
1036,3,18,2,449,0.05
1036,4,65,2,346.99,0.2
1036,5,12,1,549.99,0.2
1037,1,74,2,439.99,0.07
1037,2,3,1,999.99,0.07
1037,3,65,2,346.99,0.2
1037,4,92,1,209.99,0.07
1037,5,84,2,109.99,0.05
1038,1,83,1,149.99,0.05
1038,2,9,1,2999.99,0.07
1039,1,18,2,449,0.2
1040,1,97,1,349.99,0.1
1040,2,28,2,2499.99,0.2
1040,3,64,1,489.99,0.07
1040,4,27,2,999.99,0.07
1040,5,8,2,1799.99,0.05
1041,1,89,1,209.99,0.1
1041,2,61,2,4999.99,0.07
1041,3,94,2,249.99,0.1
1042,1,23,1,299.99,0.1
1043,1,55,2,2699.99,0.1
1043,2,20,1,599.99,0.07
1044,1,97,2,349.99,0.1
1045,1,28,1,2499.99,0.05
1045,2,104,2,481.99,0.05
1046,1,60,1,1559.99,0.07
1046,2,79,1,402.99,0.07
1046,3,32,1,469.99,0.07
1046,4,41,2,1469.99,0.1
1046,5,17,2,429,0.05
1047,1,28,2,2499.99,0.1
1047,2,78,1,647.99,0.2
1047,3,35,1,832.99,0.05
1047,4,49,1,3499.99,0.05
1048,1,3,2,999.99,0.1
1048,2,37,1,379.99,0.1
1048,3,94,1,249.99,0.05
1049,1,9,1,2999.99,0.1
1049,2,36,2,832.99,0.05
1049,3,3,1,999.99,0.1
1049,4,26,1,599.99,0.07
1049,5,10,2,1549,0.05
1050,1,96,2,349.99,0.07
1050,2,99,2,299.99,0.1
1050,3,45,2,869.99,0.2
1050,4,14,2,269.99,0.2
1051,1,46,1,1409.99,0.2
1052,1,7,1,3999.99,0.05
1052,2,103,1,551.99,0.05
1052,3,26,2,599.99,0.07
1053,1,49,2,3499.99,0.05
1053,2,26,2,599.99,0.2
1053,3,23,2,299.99,0.2
1053,4,68,1,449.99,0.1
1053,5,73,2,749.99,0.05
1054,1,36,2,832.99,0.1
1054,2,16,1,599.99,0.05
1055,1,43,2,5299.99,0.07
1055,2,101,2,339.99,0.2
1055,3,12,2,549.99,0.1
1055,4,83,2,149.99,0.1
1055,5,60,1,1559.99,0.2
1056,1,3,1,999.99,0.05
1057,1,105,1,533.99,0.2
1057,2,97,1,349.99,0.05
1057,3,98,2,489.99,0.05
1058,1,43,1,5299.99,0.1
1058,2,29,2,999.99,0.05
1058,3,103,1,551.99,0.07
1059,1,46,2,1409.99,0.05
1059,2,7,1,3999.99,0.1
1059,3,13,1,269.99,0.07
1060,1,7,1,3999.99,0.07
1060,2,11,2,1680.99,0.07
1060,3,61,2,4999.99,0.1
1060,4,30,2,999.99,0.05
1061,1,14,1,269.99,0.07
1061,2,19,1,449,0.1
1062,1,13,1,269.99,0.05
1062,2,111,2,470.99,0.2
1062,3,5,1,1320.99,0.05
1062,4,12,1,549.99,0.2
1063,1,33,2,469.99,0.1
1063,2,100,2,489.99,0.07
1063,3,72,2,619.99,0.2
1064,1,18,1,449,0.07
1064,2,49,1,3499.99,0.1
1065,1,48,2,1499.99,0.07
1065,2,103,2,551.99,0.05
1065,3,63,1,3499.99,0.07
1066,1,15,2,529.99,0.05
1066,2,46,1,1409.99,0.1
1066,3,12,1,549.99,0.1
1067,1,74,2,439.99,0.07
1067,2,9,2,2999.99,0.2
1067,3,72,2,619.99,0.1
1067,4,6,2,469.99,0.2
1068,1,87,2,189.99,0.2
1068,2,82,1,659.99,0.2
1068,3,49,2,3499.99,0.2
1068,4,45,2,869.99,0.2
1069,1,109,1,416.99,0.07
1069,2,93,1,209.99,0.1
1070,1,110,1,470.99,0.2
1070,2,18,2,449,0.1
1070,3,94,1,249.99,0.05
1071,1,25,2,499.99,0.2
